dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
doi_dedup___::5867f6fbf3614d19394dc96231f34ac1,<p>Post Brexit Media coverage dataset</p>
doi_dedup___::dd15ba228bb45a0c733b9f44a77094b7,"Astrocytes are thought to have important roles after brain injury, but their behavior has largely been inferred from postmortem analysis. To examine the mechanisms that recruit astrocytes to sites of injury, we used in vivo two-photon laser-scanning microscopy to follow the response of GFP-labeled astrocytes in the adult mouse cerebral cortex over several weeks after acute injury. Live imaging revealed a marked heterogeneity in the reaction of individual astrocytes, with one subset retaining their initial morphology, another directing their processes toward the lesion, and a distinct subset located at juxtavascular sites proliferating. Although no astrocytes actively migrated toward the injury site, selective proliferation of juxtavascular astrocytes was observed after the introduction of a lesion and was still the case, even though the extent was reduced, after astrocyte-specific deletion of the RhoGTPase Cdc42. Thus, astrocyte recruitment after injury relies solely on proliferation in a specific niche."
doi_dedup___::eb9c1cab13a3a7f2b92f5b4141f71b54,"<jats:p>Gas turbine disks carry significant load under high temperatures and may be subject to fatigue failure. Disks contain several notches in the form of the fir tree blade attachments. Low cycle fatigue tests were performed on blunt notch compact tension specimens made from alloy 718. The results indicated that notch support needed to be incorporated not to cause an overly conservative life prediction. The notch support diminished as the plastic strain range decreased, indicating that notch support is only present in the low cycle fatigue regime. A critical distance approach was applied to account for the notch support. An equation relating the critical distance to the notch root stress was derived. The chosen life model was formulated in terms of a variation on the Smith–Watson–Topper (SWT) parameter. The modified SWT parameter taken at the critical distance was used in a life model calibrated for smooth specimens to successfully predict the fatigue life of notched specimens.</jats:p>"
doi_dedup___::f21313aabd990270e75b69edfaf40b95,"The achievement of building indoor thermal comfort conditions with the minimum energy need represents a challenge for both designers and researchers. To this aim, the development of passive strategies, e.g. cool roofs, for reducing the thermal gain entering building envelopes has spread in the scientific community. In this view, Computational Fluid Dynamic method is applied in this research in order to quantify the effect of a cool roof solution within the indoor environment of the thermal zone adjacent to the roof, by analyzing the attic local conditions. The case study is represented by an attic room of a continuously monitored residential building located in central Italy. A two-dimensional finite element analysis is carried out to investigate the indoor air temperature and air velocity field inside the attic. The available experimental data are used for validation. Therefore, the thermal profiles generated by (i) the roof with traditional brown-colored brick tiles and (ii) the same roof with innovative cool clay tiles are investigated. The final purpose is to compare the indoor thermal comfort conditions generated within the vertical cross section of the attic, in order to study the cool roof effect at different height of occupants' body. The main results show up to 2.79 K and 1.54 K air temperature difference between the cool and traditional roof configurations, in summer and winter conditions, respectively. A thermal stratification is detected during summer inside the attic, leading to strongly non homogeneous comfort conditions, particularly marked in the “hot” tiles scenario, demonstrating the usefulness of this contribution."
erc_________::fd4d44dd5918dcaabd1c8a36aeb24a99,
od______1271::eb461a441a7cbfb6e31e5c38f158974f,Entrevista com Maria Lucia da Silva - Professora no Curso Jornalismo e Coordenadora do NERA (Núcleo de Estudos Étnico-Racial) das Faculdades Metropolitanas Unidas (FMU)/Faculdades Integradas Alcântara Machado (FIAMFAAM) Centro Universitário.
r3c4b2081b22::008d1c552cacd913ff54c7ecafaee84c,The framework will be condensed and translated into a codebook to be used in the other WPs for assessing transboundary crisis management capacities in the EU.
doi_________::6a7d3a8f0816ad6165a5098fd2b9721d,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::ca085c42d6392b248ada0165b504f325,Belgium Herbarium image of Meise Botanic Garden.
doi_________::f29f4c0385f6391fe01b9b99737bbea7,Additional file 5. Review history.
doi_________::f5d9228161f37b72150f70f0634ea26a,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::13b991df18f1b2be8e815e86f80bfaf2,"Concentrations of metals (Cd, Cu, Hg, Pb and Zn) in the marine bivalve Pinna nobilis at several coastal locations of Majorca and the Cabrera Islands (Mediterranean Sea) were investigated. The elevated concentrations of metals found in the soft tissues of P. nobilis indicate high bioaccumulation factors. All concentrations and the calculated metal pollution index showed significant differences between sites, with particularly high concentrations in the Cabrera Archipelago, a marine protected area (MPA). The datasets were evaluated with the limited information published in the literature for Pinnidae species worldwide. In benthic P. nobilis, concentrations of Cd, Cu and Zn are more than 30 times higher and Hg and Pb concentrations are 4 and 7 times higher, respectively, than concentrations in other bivalve species, such as Mytilus galloprovincialis (Mytilidae). These observations from species inhabiting nearby ecological habitats of the coastal environment (Pinnidae vs. Mytilidae) are also discussed in the context of current marine monitoring strategies and assessments."
doi_dedup___::25ebee4655367cab9b700afeaae10672,
doi_dedup___::37c4f8eb8c5422167aba2cb2d507942b,"International audience; Affinity constants for a selection of Odorant Binding Proteins (OBPs) from mammalian and insect sources were determined toward volatile signature compounds from tobacco in the liquid phase using a fluorescent probe and competitive ligand binding. The most sensitive proteins were selected and these were immobilised on to diamond coated Surface Acoustic Wave (SAW) sensors to construct an array of eight sensors to detect tobacco volatiles. The system was then tested for its ability to detect vapours of tobacco itself as well as other markers. The results were positive, a pattern of responses across the array was observed as each sensor gave a specific response towards different analytes. To determine the stability of these OBP biosensors over time, the sensors were repeatedly exposed to pulses of saturated D(+)-carvone vapour over three months. Little degradation was observed and these sensors were able to sensitively detect the target analytes after this period."
doi_dedup___::3cb7cda6a738bdf9b528985de1d65b45,"<jats:title>Abstract</jats:title><jats:p>The perception of our body in space is flexible and manipulable. The predictive brain hypothesis explains this malleability as a consequence of the interplay between incoming sensory information and our body expectations. However, given the interaction between perception and action, we might also expect that actions would arise due to prediction errors, especially in conflicting situations. Here we describe a computational model, based on the free-energy principle, that forecasts involuntary movements in sensorimotor conflicts. We experimentally confirm those predictions in humans using a virtual reality rubber-hand illusion. Participants generated movements (forces) towards the virtual hand, regardless of its location with respect to the real arm, with little to no forces produced when the virtual hand overlaid their physical hand. The congruency of our model predictions and human observations indicates that the brain-body is generating actions to reduce the prediction error between the expected arm location and the new visual arm. This observed unconscious mechanism is an empirical validation of the perception-action duality in body adaptation to uncertain situations and evidence of the active component of predictive processing.</jats:p>"
doi_dedup___::4ee2d1467216f24787ee350b8b4d8c05,"<p>WoodCircus 3W selected good practice, &quot;Accsys Technologies - Ultra-durable modified wood&quot;.</p>"
doi_dedup___::7577f9f504c5febb8875d7d03b3d77be,"Abstract Inhibitory GABAergic interneurons migrate over long distances from their extracortical origin into the developing cortex. In humans, this process is uniquely slow and prolonged, and it is unclear whether guidance cues unique to humans govern the various phases of this complex developmental process. Here, we use fused cerebral organoids to identify key roles of neurotransmitter signaling pathways in guiding the migratory behavior of human cortical interneurons. We use scRNAseq to reveal expression of GABA, glutamate, glycine, and serotonin receptors along distinct maturation trajectories across interneuron migration. We develop an image analysis software package, TrackPal, to simultaneously assess 48 parameters for entire migration tracks of individual cells. By chemical screening, we show that different modes of interneuron migration depend on distinct neurotransmitter signaling pathways, linking transcriptional maturation of interneurons with their migratory behavior. Altogether, our study provides a comprehensive quantitative analysis of human interneuron migration and its functional modulation by neurotransmitter signaling."
doi_dedup___::8c3e8d616c5425753825a5cfe38b2041,"Although Automated vehicles (AVs) are expected to have a major and positive effect on road safety, recent accidents caused by AVs tend to generate a powerful negative impact on the public opinion regarding safety aspects of AVs. Triggered by such incidents, many experts and policy makers now believe that paradoxically, safety perceptions may well prohibit or delay the rollout of AVs in society, in the sense that AVs will need to become much safer than conventional vehicles (CVs), before being accepted by the public. In this study, we provide empirical insights to investigate and explain this safety paradox. Using stated choice experiments, we show that there is indeed a difference between the weight that individuals implicitly attach to an AV-fatality and to a CV-fatality. However, the degree of overweighting of AV-fatalities, compared to CV-fatalities, is considerably smaller than what has been suggested in public opinions and policy reports. We also find that the difference in weighting between AV-fatalities and CV-fatalities is (partly) related to a reference level effect: simply because the current number of fatalities caused by AVs is extremely low, each additional fatality carries extra weight. Our findings suggest that indeed, AVs have to become safer—but not orders of magnitude safer—than CVs, before the general public will develop a positive perception of AVs in terms of road safety. Ironically, our findings also suggest that the inevitable occurrence of more AV-related road accidents will in time lead to a diminishing degree of overweighting of safety issues surrounding the AV."
doi_dedup___::bdc0ad221b38ea04423b5f19c4e6f05b,"Abstract   Crop growth in greenhouses is basically determined by the climate variables in the environment and by the amounts of water and fertilizers supplied by irrigation. The management of these factors depends on the expertise of agricultural technicians and farmers, usually assisted by control systems installed within the greenhouse. In this context, decision support features enable us to incorporate invaluable human experience so that we can take quick and effective decisions to ensure efficient crop growth. This work describes a real-time decision support system for greenhouse tomatoes that supports decisions at three stages – the supervision stage identifies climate sensor faults, the control stage maintains climate variables at setpoints, and the strategic stage identifies diseases affecting the crop and changes climate variables accordingly to minimize damage. The DSS was implemented by integrating a real-time rule-based tool into the control system. Experimental results show that the system increases climate control effectiveness, while providing support in preventing diseases which are difficult to eradicate. The system was tested by simulating the appearance of the disease and observing the real system response. The main contribution has been to demonstrate that production rules, which are mature and well-known in the artificial intelligence domain, can act as a shared technology for the whole system. This means that fault detection, temperature control and disease monitoring features are not dealt with in isolation."
doi_dedup___::e43bdf743e0c13829eb0bda6867d830e,"We study the implementation of arbitrary excitation-conserving linear transformations between two sets of $N$ stationary bosonic modes, which are connected through a photonic quantum channel. By controlling the individual couplings between the modes and the channel, an initial $N$-partite quantum state in register $A$ can be released as a multiphoton wave packet and, successively, be reabsorbed in register $B$. Here we prove that there exists a set of control pulses that implement this transfer with arbitrarily high fidelity and, simultaneously, realize a prespecified $N\\times N$ unitary transformation between the two sets of modes. Moreover, we provide a numerical algorithm for constructing these control pulses and discuss the scaling and robustness of this protocol in terms of several illustrative examples. By being purely control-based and not relying on any adaptations of the underlying hardware, the presented scheme is extremely flexible and can find widespread applications, for example, for boson-sampling experiments, multiqubit state transfer protocols or in continuous-variable quantum computing architectures."
r3c4b2081b22::b80eabc56a4649770172960197bf301a,A report with all the use cases identified in NOESIS
doi_________::22f0faea7ac1953210943a9f8418036c,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::7409a9b18c1e83a0aed6d9832ce185b6,Belgium Herbarium image of Meise Botanic Garden.
doi_dedup___::03b422ced96d151a462fdd63491ccd07,"<jats:title>Abstract</jats:title>                <jats:p>A combination of gasification of low and intermediate level radioactive waste (LILW) and conditioning of the resulting product within a geopolymer matrix is a potential alternative for vitrification technologies as an immobilisation method. Geopolymer matrices have demonstrated good retention capability for radionuclides in many studies and the technology has been implemented at an industrial scale in Slovakia and Czech Republic. However, the practical waste loading has been limited by the mechanical properties of the encapsulated matrix. Even a small amount of ion exchange resin (IXR) decreases the strength of the matrix and cohesion of the matrix is lost when the fraction of resin exceeds 15-20%. In this study, the potential to combine gasification as thermal treatment and various inorganic binders as encapsulation matrices was evaluated. After gasification, the mechanical properties were not similarly sensitive to the encapsulation of IXR. Gasification enabled substantially higher loading of IXR into the sample. Also, gasification of the IXR decreased matrix apparent Caesium diffusion. Very low apparent diffusion coefficients of Cs were calculated when gasified resin was encapsulated in metakaolin matrix. Theoretically, the amount of Cs within the same volume of encapsulated material could be increased by 800 times following gasification and encapsulation within an alkali-activated metakaolin (MK) binder.</jats:p>"
doi_dedup___::119badefafb50d18eaf8cdc71afdac93,"This conceptual design report provides a detailed account of the European Spallation Source neutrino Super Beam (ESS$\\nu$SB) feasibility study. This facility has been proposed after the measurements reported in 2012 of a relatively large value of the neutrino mixing angle $\\theta_{13}$, which raised the possibility of observing potential CP violation in the leptonic sector with conventional neutrino beams. The measured value of $\\theta_{13}$ also privileges the $2^{nd}$ oscillation maximum for the discovery of CP violation instead of the more typically studied $1^{st}$ maximum. The sensitivity at this $2^{nd}$ oscillation maximum is about three times higher than at the $1^{st}$ one, which implies a reduced influence of systematic errors. Working at the $2^{nd}$ oscillation maximum requires a very intense neutrino beam with an appropriate energy. The world's most intense pulsed spallation neutron source, the European Spallation Source (ESS), will have a proton linac operating at 5\\,MW power, 2\\,GeV kinetic energy and 14~Hz repetition rate (3~ms pulse duration, 4\\% duty cycle) for neutron production. In this design study it is proposed to double the repetition rate and compress the beam pulses to the level of microseconds in order to provide an additional 5~MW proton beam for neutrino production. The physics performance has been evaluated for such a neutrino super beam, in conjunction with a megaton-scale underground water Cherenkov neutrino detector installed at a distance of 360--550\\,km from ESS. The ESS proton linac upgrades, the accumulator ring required for proton-pulse compression, the target station design and optimisation, the near and far detector complexes, and the physics potential of the facility are all described in this report. The ESS linac will be operational by 2025, at which point the implementation of upgrades for the neutrino facility could begin."
doi_dedup___::badb48b86ab1ccbfd4d30192dfac210d,This review focuses on chemical probes to identify the protein binding partners of natural products in living systems.
doi_dedup___::e6409aa414faf9725e24f43309effd28,"The present paper describes a numerical framework to simulate transcritical and supercritical flows utilising the compressible form of the Navier–Stokes equations coupled with the Perturbed Chain Statistical Associating Fluid Theory (PC-SAFT) equation of state (EoS); both conservative and quasi-conservative formulations have been tested. This molecular model is an alternative to cubic EoS which show low accuracy computing the thermodynamic properties of hydrocarbons at temperatures typical for high pressure injection systems. Liquid density, compressibility, speed of sound, vapour pressures and density derivatives are calculated with more precision when compared to cubic EoS. Advection test cases and shock tube problems are included to show the overall performance of the developed framework employing both formulations. Additionally, two-dimensional simulations of nitrogen and dodecane jets are presented to demonstrate the multidimensional capability of the developed model."
doi_dedup___::e6b7f970a4bc4fbc33b70fd39cbc1a98,"Background In the Next Generation Sequencing (NGS) era a large amount of biological data is being sequenced, analyzed, and stored in many public databases, whose interoperability is often required to allow an enhanced accessibility. The combination of heterogeneous NGS genomic data is an open challenge: the analysis of data from different experiments is a fundamental practice for the study of diseases. In this work, we propose to combine DNA methylation and RNA sequencing NGS experiments at gene level for supervised knowledge extraction in cancer. Methods We retrieve DNA methylation and RNA sequencing datasets from The Cancer Genome Atlas (TCGA), focusing on the Breast Invasive Carcinoma (BRCA), the Thyroid Carcinoma (THCA), and the Kidney Renal Papillary Cell Carcinoma (KIRP). We combine the RNA sequencing gene expression values with the gene methylation quantity, as a new measure that we define for representing the methylation quantity associated to a gene. Additionally, we propose to analyze the combined data through tree- and rule-based classification algorithms (C4.5, Random Forest, RIPPER, and CAMUR). Results We extract more than 15,000 classification models (composed of gene sets), which allow to distinguish the tumoral samples from the normal ones with an average accuracy of 95%. From the integrated experiments we obtain about 5000 classification models that consider both the gene measures related to the RNA sequencing and the DNA methylation experiments. Conclusions We compare the sets of genes obtained from the classifications on RNA sequencing and DNA methylation data with the genes obtained from the integration of the two experiments. The comparison results in several genes that are in common among the single experiments and the integrated ones (733 for BRCA, 35 for KIRP, and 861 for THCA) and 509 genes that are in common among the different experiments. Finally, we investigate the possible relationships among the different analyzed tumors by extracting a core set of 13 genes that appear in all tumors. A preliminary functional analysis confirms the relation of part of those genes (5 out of 13 and 279 out of 509) with cancer, suggesting to focus further studies on the new individuated ones. Electronic supplementary material The online version of this article (10.1186/s13040-018-0184-6) contains supplementary material, which is available to authorized users."
erc_________::432feb5592cd4b06e950ff86c607d3e3,
r3c4b2081b22::6594a4c19b9515dc59c893620fef1784,Review of key uncertainties and risks for climate policy
r3c4b2081b22::b5d641fdf4260165d2f5913f0ef96ed7,"Description of the project communication, dissemination, data management, and exploitation plans."
dedup_wf_001::819b8be2403e5b360a875189f8b7a14f,"International audience; We study the evolution of the radio spectral index and far-infrared/radio correlation (FRC) across the star-formation rate – stellar masse (i.e. SFR–$M_\\ast$) plane up to $z$ ~ 2. We start from a stellar-mass-selected sample of galaxies with reliable SFR and redshift estimates. We then grid the SFR–$M_\\ast$ plane in several redshift ranges and measure the infrared luminosity, radio luminosity, radio spectral index, and ultimately the FRC index (i.e. $q_{FIR}$) of each SFR–$M_\\ast$–$z$ bin. The infrared luminosities of our SFR–$M_\\ast$–$z$ bins are estimated using their stacked far-infrared flux densities inferred from observations obtained with the Herschel Space Observatory. Their radio luminosities and radio spectral indices (i.e. $\\alpha$, where $S_ν$ ∝ $ν^{−α}$) are estimated using their stacked 1.4 GHz and 610 MHz flux densities from the Very Large Array and Giant Metre-wave Radio Telescope, respectively. Our far-infrared and radio observations include the most widely studied blank extragalactic fields – GOODS-N, GOODS-S, ECDFS, and COSMOS – covering a total sky area of ~2.0 deg$^2$. Using this methodology, we constrain the radio spectral index and FRC index of star-forming galaxies with $M_\\ast$ > 10$^{10}$ $M_⊙$ and 0 <$z$< 2.3. We find that $\\alpha_{610 MHz}^{1.4 GHz}$ does not evolve significantly with redshift or with the distance of a galaxy with respect to the main sequence (MS) of the SFR–$M_\\ast$ plane (i.e. Δlog (SSFR)$_{MS}$ = log  [SSFR(galaxy) /SSFR$_{MS}$($M_\\ast$,$z$) ]). Instead, star-forming galaxies have a radio spectral index consistent with a canonical value of 0.8, which suggests that their radio spectra are dominated by non-thermal optically thin synchrotron emission. We find that the FRC index, q$_{FIR}$,displays a moderate but statistically significant redshift evolution as q$_{FIR}$($z$) = (2.35 ± 0.08) × (1 + $z$)$^{−0.12 ± 0.04}$, consistent with some previous literature. Finally, we find no significant correlation between q$_{FIR}$ and Δlog (SSFR)$_{MS}$, though a weak positive trend, as observed in one of our redshift bins (i.e. Δ [ q$_{FIR}$]/Δ [ Δlog (SSFR)$_{MS}$ ] = 0.22 ± 0.07 at 0.5 <$z$<0.8), cannot be firmly ruled out using our dataset."
doi_________::1237c069897a0783be22cb21fa14f46c,
doi_________::16434e61f730419f9417a23753550220,"Differential cross section for the DY process measured in the muon channel, as a function of dimuon invariant mass. The quoted error is the quadratic sum of the statistical and systematic uncertainties. The global normalisation uncertainty of 3.5% is listed separately."
doi_________::30f28fac7c91945e8067c5455712e992,Belgium Herbarium image of Meise Botanic Garden.
doi_________::50f56490996b3caa91b86c2c0943070a,"Traumatic brain injury (TBI) constitutes a major cause of death and long-term disability. At present, we lack methods to non-invasively track tissue biochemistry and hence select appropriate interventions for patients. We hypothesized that detailed label-free vibrational chemical analysis of focal TBI could provide such information. We assessed the early spatial and temporal changes in tissue biochemistry that are associated with brain injury in mice. Numerous differences were observed in the spectra of the contusion core and pericontusional tissue between 2 and 7 days. For example, a strong signal from haem was seen in the contusion core at 2 days due to haemorrhage, which subsequently resolved. More importantly, elevated cholesterol levels were demonstrated by 7 days, which may be a marker of important cell repair processes. Principal component analysis revealed an early ‘acute’ component dominated by haemorrhage and a delayed component reflecting changes in protein and lipid composition. Notably we demonstrated changes in Raman signature with time even in the contralateral hemisphere when compared to sham control mice. Raman spectroscopy therefore shows promise as a probe that is sensitive to important pathobiological processes in TBI and could be applied in future both in the experimental setting, as well as in the clinic."
doi_________::51650afafaf365a8751222c2014e04e4,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::b3f030067412a51b7908aa7602183f3f,Belgium Herbarium image of Meise Botanic Garden.
doi_________::d830ea8cf6406c69edbdc03143dcd86c,Correlation matrix between the measured cross sections and the $ZZ^{*}$ background normalization corresponding to the differential fiducial cross section for the transverse momentum of the leading jet vs the transverse momentum of the subleading jet $p_{T}^{lead.jet}$vs.$p_{T}^{sublead.jet}$.
doi_dedup___::7d2152f03ff3f571e29c29dea0237f5a,"Many biological molecules are by their nature amphiphilic and have the ability to act as surfactants, stabilizing interfaces between aqueous and immiscible oil phases. In this paper, we explore the adsorption kinetics of surfactin, a naturally occurring cyclic lipopeptide, at hexadecane/water interfaces and compare and contrast its adsorption behaviour with that of synthetic alkyl benzene sulfonate isomers, through direct measurements of changes in interfacial tension upon surfactant adsorption. We access millisecond time resolution in kinetic measurements by making use of droplet microfluidics to probe the interfacial tension of hexadecane droplets dispersed in a continuous water phase through monitoring their deformation when the droplets are exposed to shear flows in a microfluidic channel with regular corrugations. Our results reveal that surfactin rapidly adsorbs to the interface, thus the interfacial tension equilibrates within 300 ms, while the synthetic surfactants used undergo adsorption processes at an approximately one order of magnitude longer time scale. The approach presented may provide opportunities for understanding and modulating the adsorption mechanism of amphiphiles on a variety of interfaces in the context of life sciences and industrial applications."
doi_dedup___::9747a4b610878e385715cd77f6df643c,"Background In an endeavor to find an orally active and affordable antileishmanial drug, we tested the efficacy of a cationic amphiphilic drug, imipramine, commonly used for the treatment of depression in humans. The only available orally active antileishmanial drug is miltefosine with long half life and teratogenic potential limits patient compliance. Thus there is a genuine need for an orally active antileishmanial drug. Previously it was shown that imipramine, a tricyclic antidepressant alters the protonmotive force in promastigotes, but its in vivo efficacy was not reported. Methodology/Principal Findings Here we show that the drug is highly active against antimony sensitive and resistant Leishmania donovani in both promastigotes and intracellular amastigotes and in LD infected hamster model. The drug was found to decrease the mitochondrial transmembrane potential of Leishmania donovani (LD) promastigotes and purified amastigotes after 8 h of treatment, whereas miltefosine effected only a marginal change even after 24 h. The drug restores defective antigen presenting ability of the parasitized macrophages. The status of the host protective factors TNF α, IFN γ and iNOS activity increased with the concomitant decrease in IL 10 and TGF β level in imipramine treated infected hamsters and evolution of matured sterile hepatic granuloma. The 10-day therapeutic window as a monotherapy, showing about 90% clearance of organ parasites in infected hamsters regardless of their SSG sensitivity. Conclusions This study showed that imipramine possibly qualifies for a new use of an old drug and can be used as an effective orally active drug for the treatment of Kala-azar."
doi_dedup___::9fe14c8f1aa04b0cf3527d62b3c8d80a,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::ae5125ce6f54ae0128e36809b1ff7694,"An infrared spectroelectrochemical study of Trametes hirsuta laccase and Magnaporthe oryzae bilirubin oxidase has been performed using azide, an inhibitor of multicopper oxidases, as an active infrared probe incorporated into the T2/T3 copper cluster of the enzymes. The redox potential-controlled measurements indicate that N3 − stretching IR bands of azide ion bound to the T2/T3 cluster are only detected for the oxidized enzymes, confirming that azide only binds to Cu2+. Moreover, the process of binding/dissociation of azide ion is shown to be reversible. The interaction of halide anions, which also inhibit multicopper oxidases, with the active site of the enzymes was studied by measuring the changes in the azide FTIR bands. Enzymes inhibited by azide respond differently upon addition of fluoride or chloride ions to the sample solution inhibited by azide. Fluoride ions compete with azide for binding at one of the T2/T3 Cu ions, whereas competition from chloride ions is much less evident."
doi_dedup___::c19e013a9a0409a0e3c31a4e3e5dc2da,"The grand abri at La Ferrassie (France) has been a key site for Palaeolithic research since the early part of the 20th century. It became the eponymous site for one variant of Middle Palaeolithic stone tools, and its sequence was used to define stages of the Aurignacian, an early phase of the Upper Palaeolithic. Several Neanderthal remains, including two relatively intact skeletons, make it one of the most important sites for the study of Neanderthal morphology and one of the more important data sets when discussing the Neanderthal treatment of the dead. However, the site has remained essentially undated. Our goal here is to provide a robust chronological framework of the La Ferrassie sequence to be used for broad regional models about human behaviour during the late Middle to Upper Palaeolithic periods. To achieve this goal, we used a combination of modern excavation methods, extensive geoarchaeological analyses, and radiocarbon dating. If we accept that Neanderthals were responsible for the Châtelperronian, then our results suggest an overlap of ca. 1600 years with the newly arrived Homo sapiens found elsewhere in France."
